Beta	Beta
BetaKey、250820-beta 或编码过的 Beta 标记可能把 SteamVR 固定在配对状态异常的 VRLink 构建上。	BetaKey, 250820-beta or encoded Beta markers can pin SteamVR to a VRLink build with broken pairing state.
Daydream 输入	Daydream input
Embodied 输入	Embodied input
FBT 脊柱模式	FBT spine mode
FPS 显示模式	FPS display mode
HPMotion 输入	HPMotion input
HUD 不透明度	HUD opacity
HUD 位置显示设置	HUD position display setting
HUD 布局模式	HUD layout mode
HUD 显示右动作菜单	Show right action menu on HUD
HUD 显示左动作菜单	Show left action menu on HUD
HUD 锚点位置	HUD anchor position
IK 手腕角度	IK wrist angle
IK 校准可视化	IK calibration visualization
IK 校准范围	IK calibration range
IK 模型测量类型	IK avatar measurement type
IK 膝盖角度	IK knee angle
IK 调试日志	IK debug logging
IK 身高比例	IK height ratio
IK 追踪器模型	IK tracker model
OSC 设置状态	OSC settings state
OpenXR 输入	OpenXR input
Quest 2/3 在普通 Wi-Fi 5/6 路由器上的默认推荐。	Default recommendation for Quest 2/3 on typical Wi-Fi 5/6 routers.
Quest 3 清晰度	Quest 3 clarity
Quest 手部输入	Quest hand input
Quest 配对缓存	Quest pairing cache
Steam Link / Quest 连接修复	Steam Link / Quest connection repair
Steam Link VR 需要 AppID 250820。请先安装 SteamVR，再运行校验。	Steam Link VR requires AppID 250820. Install SteamVR first, then run validation.
Steam Link 修复失败：{{msg}}	Steam Link repair failed: {{msg}}
Steam Link 带宽设置偏高	Steam Link bandwidth set high
Steam Link 最推荐电脑走有线以太网，头显连接同一路由器。	Steam Link works best with the PC on wired Ethernet and the headset on the same router.
Steam Link 诊断失败：{{msg}}	Steam Link diagnosis failed: {{msg}}
Steam Link 诊断完成。	Steam Link diagnosis complete.
Steam 路径	Steam path
SteamVR 因主进程丢失而关闭；需要检查 VRLink 配对和运行时进程稳定性。	SteamVR closed because the master process was lost; check VRLink pairing and runtime process stability.
SteamVR 因未知主进程原因关闭	SteamVR closed for an unknown master-process reason
SteamVR 处在 manifest 切换/下载过程中时，Steam Link 可能连接失败。先让 Steam 完成更新，再重新配对。	When SteamVR is mid manifest switch/download, Steam Link may fail to connect. Let Steam finish updating, then re-pair.
SteamVR 有待更新或未完成下载	SteamVR has a pending update or unfinished download
SteamVR2 输入	SteamVR2 input
Touch 灵敏度	Touch sensitivity
Touch 自动转向速度	Touch auto-turn speed
Touch 输入	Touch input
UI 状态偏好	UI state preference
UI 音效静音开关	UI sound mute toggle
UI 音效音量	UI sound volume
Unity 云用户 ID	Unity cloud user ID
Unity 会话遥测	Unity session telemetry
Unity 选择显示器	Unity selected monitor
VR 显示个人面镜	Show personal face mirror in VR
VR 面镜 X 偏移	VR face mirror X offset
VR 面镜 Y 偏移	VR face mirror Y offset
VR 面镜不透明度	VR face mirror opacity
VR 面镜缩放	VR face mirror scale
VR 面镜缩放倍率	VR face mirror zoom
VR 麦克风设备名	VR microphone device name
VR 麦克风输入等级	VR microphone input level
VRC+	VRC+
VRC+ 自拍面追踪点击次数	VRC+ selfie face-tracking click count
VRCSM 会关闭 Steam/SteamVR，先备份当前文件，再恢复你选择的备份。	VRCSM closes Steam/SteamVR, backs up the current files first, then restores the backup you select.
VRLink 会话 ID 不匹配	VRLink session ID mismatch
VRLink 会话不匹配：Quest 的数据包已经到达电脑，但 SteamVR 拒绝了无线头显会话。	VRLink session mismatch: Quest packets reached the PC, but SteamVR rejected the wireless headset session.
Valve Index 输入	Valve Index input
Vive 输入	Vive input
Vive 高级输入	Vive advanced input
Wave 输入	Wave input
Wing UI 选择状态	Wing UI selection state
{{bandwidth}} Mbps 对共享 Wi-Fi 可能过于激进。排障时建议先用 80-120 Mbps。	{{bandwidth}} Mbps may be too aggressive for shared Wi-Fi. When troubleshooting, start with 80-120 Mbps.
下载	Download
下载模型包	Download avatar package
严重	Critical
个人镜子 X 缩放	Personal mirror X scale
个人镜子 Y 缩放	Personal mirror Y scale
个人镜子不透明度	Personal mirror opacity
个人镜子移动模式	Personal mirror movement mode
中风险	Medium risk
主名牌显示模式	Primary nameplate display mode
主菜单锁定移动	Lock movement while main menu open
主进程丢失	Master process lost
主页地图区域	Home world region
主页地图隐私预设	Home world privacy preset
仅好友加入离开传送提醒	Friend-only join/leave portal notifications
从 Steam localconfig.vdf 移除用户级 250820-beta / BetaKey 标记。	Remove user-level 250820-beta / BetaKey markers from Steam localconfig.vdf.
从备份恢复：{{path}} ← {{backup}}	Restore from backup: {{path}} ← {{backup}}
从文件移除 250820-beta / BetaKey 标记：{{path}}	Remove 250820-beta / BetaKey markers from file: {{path}}
从文件移除 BetaKey 行：{{path}}	Remove BetaKey line from file: {{path}}
从文件移除 Quest / Steam Link 串流设备块：{{path}}	Remove Quest / Steam Link streaming device blocks from file: {{path}}
从解析的 VRChat 日志中提取的近期使用模型。	Recently worn avatars extracted from parsed VRChat logs.
传统 IK	Legacy IK
传统全身校准流程	Legacy full-body calibration flow
传送前舒适模式	Comfort mode before holoport
传送门前先询问	Ask before entering portals
传送门模式 v2	Portal mode v2
位置上下文	Location context
位置上下文地图	Location context world
低性能稳定	Low-performance stability
低显存 GPU 上超采样偏高	Supersampling high on low-VRAM GPU
低风险	Low risk
使用之前修好 Quest 3 会话的完整路径：配对缓存、SteamVR 本地运行时状态、VRLink 配置文件夹、旧日志、Beta 标记和 Steam 校验。	The full path that has fixed Quest 3 sessions before: pairing cache, SteamVR local runtime state, VRLink config folder, old logs, Beta markers, and Steam validation.
使用像素偏移 HUD	Use pixel-shifting HUD
使用原生分辨率	Use native resolution
使用通用实例名称	Use generic instance names
保存相机元数据	Save camera metadata
信任等级	Trust rank
修复后打开 steam://validate/250820 校验	After repair, open steam://validate/250820 to validate
修复已应用，并已打开 Steam 校验。	Repair applied and Steam validation opened.
停止 Steam/SteamVR	Stop Steam/SteamVR
停止 SteamVR/Steam	Stop SteamVR/Steam
停止进程 {{name}} ({{pid}})	Stop process {{name}} ({{pid}})
停止进程数	Processes stopped
允许 Discord 好友集成	Allow Discord friends integration
允许专注视图	Allow focus view
允许共享连接	Allow shared connections
允许复制模型	Allow avatar copying
允许展示台分享	Allow pedestal shares
允许打印分享	Allow print shares
允许打开不受信任 URL	Allow opening untrusted URLs
允许直接分享	Allow direct shares
先从头显重试；如果失败，再运行预览修复并对比新的日志尾部。	Retry from the headset first; if it fails, run the preview repair and compare the new log tail.
先备份 localconfig.vdf，再移除旧的 Oculus Quest / Steam Link 串流设备记录。	Back up localconfig.vdf first, then remove old Oculus Quest / Steam Link streaming device records.
先让 Steam 完成 SteamVR 更新/校验，再重试 Steam Link。	Let Steam finish the SteamVR update/validation, then retry Steam Link.
全局模型安全预设	Global avatar safety preset
全屏模式	Fullscreen mode
